attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
296,43,davisba01,210,82,1015,239,Baron Davis,2523,211,[<Position.POINT_GUARD: 'POINT GUARD'>],412,73,30,126,Team.LOS_ANGELES_CLIPPERS,1145,291,75,598,52,214
4,14,davisgl01,132,0,279,96,Glen Davis,933,53,[<Position.POWER_FORWARD: 'POWER FORWARD'>],122,1,24,21,Team.BOSTON_CELTICS,340,138,54,35,101,104
0,1,davispa01,0,0,4,1,Paul Davis,8,0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2,0,25,0,Team.WASHINGTON_WIZARDS,5,2,2,3,0,0
42,3,davisri01,39,16,143,18,Ricky Davis,499,29,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],62,2,30,11,Team.LOS_ANGELES_CLIPPERS,158,31,36,39,10,47
95,26,dayeau01,114,29,295,46,Austin Daye,915,48,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],137,4,21,25,Team.DETROIT_PISTONS,349,56,69,34,34,140
365,21,delfica01,138,134,732,93,Carlos Delfino,2279,119,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],299,66,27,80,Team.MILWAUKEE_BUCKS,825,119,75,202,51,343
83,61,denglu01,129,32,1014,252,Luol Deng,2651,134,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],473,69,24,66,Team.CHICAGO_BULLS,1230,330,70,143,131,381
16,18,derozde01,176,4,512,148,DeMar DeRozan,1664,62,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],255,65,20,43,Team.TORONTO_RAPTORS,662,194,77,53,66,157
206,57,diawbo01,219,66,773,113,Boris Diaw,2906,178,[<Position.POWER_FORWARD: 'POWER FORWARD'>],373,82,27,60,Team.CHARLOTTE_BOBCATS,925,147,82,325,131,293
6,0,diawaya01,8,1,10,0,Yakhouba Diawara,44,3,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2,2,27,1,Team.MIAMI_HEAT,5,0,6,3,1,3
5,0,dienetr01,1,1,6,0,Travis Diener,25,0,[<Position.POINT_GUARD: 'POINT GUARD'>],1,0,27,3,Team.INDIANA_PACERS,3,2,4,4,0,2
2,0,dienetr01,1,0,4,1,Travis Diener,26,0,[<Position.POINT_GUARD: 'POINT GUARD'>],1,0,27,1,Team.PORTLAND_TRAIL_BLAZERS,3,2,5,4,0,1
0,14,diopde01,31,0,29,2,DeSagana Diop,262,12,[<Position.CENTER: 'CENTER'>],15,0,28,5,Team.CHARLOTTE_BOBCATS,32,9,27,5,24,41
157,0,doolike01,82,59,324,47,Keyon Dooling,971,59,[<Position.POINT_GUARD: 'POINT GUARD'>],129,8,29,34,Team.NEW_JERSEY_NETS,364,61,53,135,8,46
0,1,dorsejo01,12,0,11,1,Joey Dorsey,54,4,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5,0,26,2,Team.HOUSTON_ROCKETS,11,2,7,2,11,14
0,1,dorsejo01,9,0,9,4,Joey Dorsey,52,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4,0,26,1,Team.SACRAMENTO_KINGS,12,10,8,0,5,13
175,3,douglto01,116,68,391,55,Toney Douglas,1087,55,[<Position.POINT_GUARD: 'POINT GUARD'>],179,12,23,42,Team.NEW_YORK_KNICKS,481,68,56,112,40,68
54,19,douglch01,101,14,573,133,Chris Douglas-Roberts,1730,97,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],255,38,23,55,Team.NEW_JERSEY_NETS,657,157,67,93,45,153
188,8,dragigo01,131,74,491,117,Goran Dragić,1442,126,[<Position.POINT_GUARD: 'POINT GUARD'>],222,2,23,48,Team.PHOENIX_SUNS,635,159,80,241,38,133
262,16,dudleja01,162,120,490,104,Jared Dudley,1991,68,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],225,1,24,81,Team.PHOENIX_SUNS,674,138,82,115,99,182
258,3,duhonch01,83,90,451,68,Chris Duhon,2072,110,[<Position.POINT_GUARD: 'POINT GUARD'>],168,59,27,59,Team.NEW_YORK_KNICKS,494,95,67,378,28,150
11,117,duncati01,152,2,1082,271,Tim Duncan,2438,140,[<Position.CENTER: 'CENTER'>],561,77,33,45,Team.SAN_ANTONIO_SPURS,1395,374,78,246,221,567
236,15,dunlemi02,105,75,558,133,Mike Dunleavy,1486,72,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],229,15,29,38,Team.INDIANA_PACERS,666,158,67,103,25,211
351,84,duranke01,171,128,1668,756,Kevin Durant,3239,271,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],794,82,21,112,Team.OKLAHOMA_CITY_THUNDER,2472,840,82,231,105,518
162,5,ellinwa01,72,64,448,61,Wayne Ellington,1384,74,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],190,1,22,20,Team.MINNESOTA_TIMBERWOLVES,505,70,76,74,33,126
