Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
431,2016,NBA,1,25,LAC,Brice Johnson,22.002,F,us,UNC,2017,2018,21,5.1,2.2,1.6,0.1,0.5,0.3,0.449,0.458,0,0.6,0.1,0.062
432,2016,NBA,2,37,HOU,Chinanu Onuaku,19.239,F-C,us,Louisville,2017,2018,6,12.3,3,2.3,0.7,0.5,0.2,0.583,0.583,,1,0.1,0.043
433,2007,NBA,1,25,UTA,Morris Almond,22.151,G,us,Rice University,2008,2012,38,9.5,3.1,1.2,0.3,0.3,0.1,0.381,0.404,0.292,0.743,0,0.005
434,2007,NBA,2,36,GSW,Jermareo Davidson,22.23,F,us,Alabama,2008,2009,52,8.3,3.1,1.8,0.3,0.2,0.3,0.425,0.425,,0.578,0,0
435,2007,NBA,2,51,CHI,JamesOn Curry,21.177,G,us,Oklahoma State,2010,2010,1,0,0,0,0,0,0,,,,,0,
436,2008,NBA,2,39,CHI,Sonny Weems,21.359,G-F,us,Arkansas,2009,2016,183,18.2,6.5,2.2,1.4,0.5,0.2,0.465,0.487,0.283,0.702,0,0.001
437,2008,NBA,2,42,SAC,Sean Singletary,22.299,G,us,Virginia,2009,2009,37,8.2,2.4,0.9,0.8,0.3,0,0.365,0.35,0.4,0.857,0,0.006
438,2008,NBA,2,58,LAL,Joe Crawford,22.015,F,us,Kentucky,2009,2009,2,11.5,4.5,2,0.5,0.5,0,0.3,0.333,0.25,1,0,0.037
439,2009,NBA,2,48,PHO,Taylor Griffin,23.074,F,us,Oklahoma,2010,2010,8,4,1.3,0.3,0.1,0,0.3,0.4,0.5,0,0.5,0,-0.039
440,2010,NBA,1,24,ATL,Damion James,22.266,G-F,us,Texas,2011,2014,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001
441,2010,NBA,2,46,PHO,Gani Lawal,21.234,F,us,Georgia Tech,2011,2011,1,2,0,0,0,0,0,,,,,0,-0.009
442,2010,NBA,2,50,DAL,Solomon Alabi,22.1,C,ng,Florida State,2011,2012,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,,0.7,0,0.01
443,2010,NBA,2,53,ATL,Pape Sy,22.085,F,fr,,2011,2011,3,7,2.3,1,0.7,0.3,0,0.333,0.4,0,1,0,-0.047
444,2010,NBA,2,56,MIN,Hamady N'Diaye,23.169,C,sn,Rutgers University,2011,2014,33,4.8,0.6,0.8,0.1,0.1,0.3,0.467,0.467,,0.462,0,0.013
445,2011,NBA,2,37,LAC,Trey Thompkins,21.039,F,us,Georgia,2012,2012,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
